GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Biblioteche-SWE,BusinessLogic,LibraryUserControllerFactory,0,8,0,0,0,2,0,2,0,2
Biblioteche-SWE,BusinessLogic,LibraryAdministratorController,0,80,0,4,0,19,0,8,0,6
Biblioteche-SWE,BusinessLogic,LibrarianController,41,257,9,27,9,68,9,18,0,9
Biblioteche-SWE,BusinessLogic,ConcreteAuthService,13,146,2,14,2,37,2,13,0,6
Biblioteche-SWE,BusinessLogic,role,0,21,0,0,0,4,0,1,0,1
Biblioteche-SWE,BusinessLogic,LibrarianControllerFactory,0,8,0,0,0,2,0,2,0,2
Biblioteche-SWE,BusinessLogic,LibraryAdministratorControllerFactory,0,8,0,0,0,2,0,2,0,2
Biblioteche-SWE,BusinessLogic,LibraryUserController,15,192,3,21,3,45,3,17,0,8
Biblioteche-SWE,DomainModel,Book.BookBuilder,0,28,0,0,0,10,0,6,0,6
Biblioteche-SWE,DomainModel,Room,0,22,0,2,0,8,0,4,0,3
Biblioteche-SWE,DomainModel,Loan,14,89,0,6,6,30,4,13,4,10
Biblioteche-SWE,DomainModel,Event.EventBuilder,10,83,5,9,2,24,5,11,0,9
Biblioteche-SWE,DomainModel,Event,16,150,7,11,3,40,7,20,0,18
Biblioteche-SWE,DomainModel,EventRoom,8,81,3,13,3,18,4,10,1,5
Biblioteche-SWE,DomainModel,LibraryUser.LibraryUserBuilder,0,44,1,3,0,12,1,7,0,6
Biblioteche-SWE,DomainModel,StudyRoom,0,77,0,8,0,20,0,12,0,8
Biblioteche-SWE,Exception.data,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
Biblioteche-SWE,Exception.data,BookNotFoundException,0,4,0,0,0,2,0,1,0,1
Biblioteche-SWE,ORM,LoanDAO,27,218,2,6,16,51,2,8,0,6
Biblioteche-SWE,ORM,Utils,0,20,0,2,0,4,0,3,0,2
Biblioteche-SWE,ORM,UserDAO,19,152,1,7,11,43,1,8,0,5
Biblioteche-SWE,ORM,BookDAO,21,181,1,9,10,52,1,10,0,6
Biblioteche-SWE,ORM,ConnectionManager,13,75,1,5,4,20,2,8,1,6
Biblioteche-SWE,ORM,LibraryDAO,8,63,0,4,5,19,0,5,0,3
Biblioteche-SWE,ORM,RoomDAO,31,273,2,12,14,71,2,11,0,6
Biblioteche-SWE,ORM,EventDAO,28,227,5,13,16,55,5,10,0,6
Biblioteche-SWE,ORM,CardDAO,18,178,5,9,12,50,5,7,0,5
